run_id	map	paper_scene	paper_exp_time_sec	paper_avg_vel_mps	paper_avg_tm_s	paper_max_tm_s	paper_exp_finished	run_exp_time_sec	run_avg_vel_mps	run_avg_tm_s	run_max_tm_s	run_exp_finished	delta_exp_time_sec	delta_avg_vel_mps	delta_avg_tm_s	delta_max_tm_s	delta_exp_time_pct	delta_avg_vel_pct	delta_avg_tm_pct	delta_max_tm_pct
20260529_234506	garage	garage	716.9	3.10	0.05	0.10	true	822.527	3.314	0.070653	0.189508	true	105.627	0.214	0.020653	0.089508	14.73	6.90	41.31	89.51
20260530_003626	garage	garage	716.9	3.10	0.05	0.10	true	720.480	3.320	0.060900	0.121249	true	3.580	0.220	0.010900	0.021249	0.50	7.10	21.80	21.25
20260530_145536	cave	cave	1288.2	2.68	0.09	0.18	true	1174.632	2.851	0.095851	0.160902	true	-113.568	0.171	0.005851	-0.019098	-8.82	6.38	6.50	-10.61
20260530_154002	cave	cave	1288.2	2.68	0.09	0.18	true	1208.978	2.877	0.101733	0.179941	true	-79.222	0.197	0.011733	-0.000059	-6.15	7.35	13.04	-0.03
20260530_164400	cave	cave	1288.2	2.68	0.09	0.18	true	1098.050	2.843	0.097747	0.146336	true	-190.150	0.163	0.007747	-0.033664	-14.76	6.08	8.61	-18.70
20260530_170258	cave	cave	1288.2	2.68	0.09	0.18	true	1107.084	2.869	0.096389	0.153332	true	-181.116	0.189	0.006389	-0.026668	-14.06	7.05	7.10	-14.82
20260530_172143	cave	cave	1288.2	2.68	0.09	0.18	true	1149.325	2.804	0.097663	0.160285	true	-138.875	0.124	0.007663	-0.019715	-10.78	4.63	8.51	-10.95
20260530_174111	cave	cave	1288.2	2.68	0.09	0.18	true	1100.404	2.844	0.097464	0.160101	true	-187.796	0.164	0.007464	-0.019899	-14.58	6.12	8.29	-11.06
20260530_175950	cave	cave	1288.2	2.68	0.09	0.18	true	1233.745	2.887	0.095695	0.174991	true	-54.455	0.207	0.005695	-0.005009	-4.23	7.72	6.33	-2.78
20260530_184601	garage	garage	716.9	3.10	0.05	0.10	true	708.341	3.286	0.055142	0.114425	true	-8.559	0.186	0.005142	0.014425	-1.19	6.00	10.28	14.42
20260530_185807	garage	garage	716.9	3.10	0.05	0.10	true	772.232	3.327	0.063906	0.119234	true	55.332	0.227	0.013906	0.019234	7.72	7.32	27.81	19.23
20260530_191117	garage	garage	716.9	3.10	0.05	0.10	true	701.150	3.309	0.058171	0.122627	true	-15.750	0.209	0.008171	0.022627	-2.20	6.74	16.34	22.63
20260530_192316	garage	garage	716.9	3.10	0.05	0.10	true	720.648	3.303	0.065886	0.174568	true	3.748	0.203	0.015886	0.074568	0.52	6.55	31.77	74.57
20260530_193534	garage	garage	716.9	3.10	0.05	0.10	true	817.755	3.308	0.060258	0.105065	true	100.855	0.208	0.010258	0.005065	14.07	6.71	20.52	5.07
